FILE	FILE_SIZE_BYTES	RECON_COUNT
COG2897	1871	720.0
COG4744	1160	7.0
COG0456	3694	18289152.0
COG4755	1024	1.0
COG1757	2266	94080.0
COG0595	1999	18.0
COG1478	1192	4.0
COG4628	1129	4.0
COG4634	1110	3.0
COG2925	1255	1.0
COG2962	1553	8.0
COG1187	3343	12386304.0
COG5423	1067	1.0
COG4393	1105	4.0
COG3516	1325	8.0
COG0524	1244	2.0
COG1707	1051	1.0
COG1185	2468	384.0
COG3306	1456	4.0
COG1160	2492	4104.0
COG0037	1012	1.0
COG3492	1111	1.0
COG4377	1053	2.0
COG4293	1074	2.0
COG0432	2034	3456.0
COG4248	1042	3.0
COG1216	1144	2.0
COG5297	1057	1.0
COG4753	1439	6.0
COG4003	1023	1.0
COG0109	2214	512.0
COG3752	1194	8.0
COG3567	1108	18.0
COG5157	1120	1.0
COG1983	1440	144.0
COG4273	1040	3.0
COG4912	1282	32.0
COG2407	1195	1.0
COG5393	1074	3.0
COG0335	2512	19008.0
COG4781	1102	1.0
COG1334	1264	4.0
COG2172	1669	3.0
COG2440	1286	6.0
COG1269	1984	8.0
COG3123	1199	8.0
COG1080	2122	50400.0
COG3313	1308	1.0
COG5170	1340	6.0
COG1661	1439	4.0
COG5546	1052	2.0
COG0767	2373	192.0
COG3377	1066	2.0
COG3819	1141	36.0
COG1408	1938	864.0
COG4580	1235	12.0
COG1462	1327	12.0
COG3371	1102	1.0
COG2987	1581	6.0
COG4154	1283	6.0
COG3968	1091	6.0
COG0107	2341	648.0
COG1755	1124	4.0
COG2910	1319	6.0
COG1360	2198	512.0
COG1564	1556	32.0
COG0855	1838	4752.0
COG0769	2493	1536.0
COG0040	2276	12384.0
COG2840	1576	94.0
COG2235	1438	64.0
COG2513	2017	1152.0
COG0330	1072	9.0
COG4193	1119	6.0
COG5112	1085	1.0
COG4998	1010	2.0
COG0666	1026	2.0
COG3620	1036	4.0
COG4834	1090	6.0
COG3214	1236	9.0
COG3303	1178	4.0
COG4192	1027	2.0
COG0120	2210	324.0
COG3216	1271	2.0
COG0597	2305	6912.0
COG1410	1662	32.0
COG1646	1251	6.0
COG2186	3702	2930688.0
COG0434	1278	4.0
COG1274	1433	6.0
COG4460	1012	2.0
COG5340	1036	2.0
COG0498	2926	28800.0
COG0761	2236	2304.0
COG3525	1831	8.0
COG5466	1055	1.0
COG0579	2112	46080.0
COG5507	1163	6.0
COG1805	1220	21.0
COG1546	2163	1008.0
COG1955	1116	1.0
COG3708	1421	16.0
COG1138	1624	24.0
COG5232	1102	1.0
COG2069	1103	1.0
COG5132	1120	1.0
COG3105	1130	2.0
COG3240	2183	3.0
COG1470	1087	1.0
COG0259	1837	120.0
COG2522	1188	4.0
COG2410	1067	1.0
COG5652	1106	1.0
COG1417	1034	1.0
COG0372	3117	19440.0
COG1843	1500	12.0
COG3073	1148	1.0
COG4115	1271	2.0
COG4993	1700	1.0
COG3082	1110	1.0
COG3243	1308	6.0
COG1399	1624	64.0
COG3023	1040	6.0
COG2915	1182	1.0
COG4316	1012	2.0
COG2123	1576	8.0
COG4861	1027	2.0
COG2236	1483	24.0
COG4245	1091	2.0
COG1459	2457	3840.0
COG0586	3820	5839257600.0
COG1407	1380	2.0
COG0792	1897	8160.0
COG1186	2220	168.0
COG1238	1694	256.0
COG3000	2005	5376.0
COG3778	1107	2.0
COG4911	1070	5.0
COG3451	1442	288.0
COG3736	1229	2.0
COG2862	1500	32.0
COG0740	3813	153600.0
COG0353	2265	48.0
COG3109	1111	1.0
